trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,beta1,beta2,lmbda
0,0_0,COMPLETED,Sobol,-0.7864428758621216,2.1171437703247107,0.5919314680695533,0.49398472997546194,0.15738459019350579
1,1_0,COMPLETED,Sobol,-0.7825712561607361,472.5399414285111,0.4334416116988286,0.7118348489133641,1300.228376005639
2,2_0,COMPLETED,Sobol,-0.7814067602157593,10.05273513199141,0.9760039976444095,0.22343960348144173,0.0025033733229070047
3,3_0,COMPLETED,Sobol,-0.8036440014839172,0.00994456059493413,0.010346365677192807,0.9433658297248184,3.436999455849155
4,4_0,COMPLETED,Sobol,-0.8680959343910217,0.0012247961323899315,0.798047979131341,0.5647154240543023,58.92657093960345
5,5_0,COMPLETED,Sobol,-0.7839789390563965,89.60890600485303,0.20385040919110178,0.3445274672890082,0.008349045149143064
6,6_0,COMPLETED,Sobol,-0.7813451290130615,2317.0722898612535,0.6290997789138928,0.8404969888273627,3826.956460153274
7,7_0,COMPLETED,Sobol,-0.772714376449585,0.3931787824335387,0.34938385283667595,0.12338512913323939,3.063649549960338
8,8_0,COMPLETED,Sobol,-0.5774824619293213,0.08875741057039713,0.9244653864009306,0.803258499501273,0.044518461627183155
9,9_0,COMPLETED,Sobol,-0.7831988334655762,3914.529895993398,0.07944504557456822,0.020132566971704364,81.18156339095593
10,10_0,COMPLETED,Sobol,-0.7841987609863281,52.944233294993545,0.5046620060484857,0.5385352227659896,0.4937720422187171
11,11_0,COMPLETED,Sobol,-0.8283955454826355,0.005436913307284248,0.47583363586105404,0.26144870517868546,3071.329673910015
12,12_0,COMPLETED,Sobol,-0.8081223964691162,0.048510219313516185,0.7171923720315099,0.14034762237221002,206.89320540870202
13,13_0,COMPLETED,Sobol,-0.7888469099998474,6.526957218381371,0.3100710273720324,0.9171836039051413,0.13280608202016395
14,14_0,COMPLETED,Sobol,-0.7817429304122925,726.2823786078142,0.8526048186728731,0.3907341821109876,19.230819055654532
15,15_0,COMPLETED,Sobol,-0.6950192451477051,0.4348022564338064,0.13563584846723825,0.6746095785861835,0.0033981542649972473
16,16_0,COMPLETED,Sobol,-0.7950594425201416,0.7488485063953426,0.8170654163639992,0.04782171307783574,8625.882208174087
17,17_0,COMPLETED,Sobol,-0.7833674550056458,1270.7017365505417,0.16336663144268096,0.7677651478378102,1.3434707300601887
18,18_0,COMPLETED,Sobol,-0.7907021641731262,3.790695898709502,0.7368726674420759,0.29497570470348,29.42536711653774
19,19_0,COMPLETED,Sobol,-0.37741926312446594,0.027733550982709874,0.26697274134960025,0.5128124362416565,0.016656610337139523
20,20_0,COMPLETED,Sobol,-0.6343420147895813,0.003418568045653625,0.5397174262711778,0.8834103633100167,0.0012500365228371997
21,21_0,COMPLETED,Sobol,-0.7844433784484863,33.817883344909355,0.4485792132066563,0.16631571213249116,6.8567086109050654
22,22_0,COMPLETED,Sobol,-0.7814390063285828,6224.112523520773,0.9052614513114094,0.6466751441303641,0.3547305488797031
23,23_0,COMPLETED,Sobol,-0.8006150722503662,0.1389205542499221,0.12205934951081872,0.4264737897310406,570.158078243046
24,24_0,COMPLETED,Sobol,-0.7891393899917603,0.24704630206112455,0.6640235952939838,0.7453489234428853,9.640930382752224
25,25_0,COMPLETED,Sobol,-0.7830878496170044,1478.985121370767,0.3222607921231538,0.46827580348961056,0.006806074144194468
26,26_0,COMPLETED,Sobol,-0.782274603843689,142.6504838988374,0.7789715988216922,0.9710717042656616,471.87610022725573
27,27_0,COMPLETED,Sobol,-0.722034215927124,0.0019193312868443285,0.24633692388888448,0.1879285632194951,0.058929419655877356
28,28_0,COMPLETED,Sobol,-0.7366944551467896,0.017106593064913057,0.9405809556478635,0.3165791476741433,1.126147125940906
