trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,beta1,beta2,lmbda
0,0_0,COMPLETED,Sobol,-0.8162990212440491,2.1171437703247107,0.5919314680695533,0.49398472997546194,0.15738459019350579
1,1_0,COMPLETED,Sobol,-0.8447259068489075,472.5399414285111,0.4334416116988286,0.7118348489133641,1300.228376005639
2,2_0,COMPLETED,Sobol,-0.8445453643798828,10.05273513199141,0.9760039976444095,0.22343960348144173,0.0025033733229070047
3,3_0,COMPLETED,Sobol,-0.7289782762527466,0.00994456059493413,0.010346365677192807,0.9433658297248184,3.436999455849155
4,4_0,COMPLETED,Sobol,-0.7855355739593506,0.0012247961323899315,0.798047979131341,0.5647154240543023,58.92657093960345
5,5_0,COMPLETED,Sobol,-0.8455337285995483,89.60890600485303,0.20385040919110178,0.3445274672890082,0.008349045149143064
6,6_0,COMPLETED,Sobol,-0.8424126505851746,2317.0722898612535,0.6290997789138928,0.8404969888273627,3826.956460153274
7,7_0,COMPLETED,Sobol,-0.8288634419441223,0.3931787824335387,0.34938385283667595,0.12338512913323939,3.063649549960338
8,8_0,COMPLETED,Sobol,-0.6108950972557068,0.08875741057039713,0.9244653864009306,0.803258499501273,0.044518461627183155
9,9_0,COMPLETED,Sobol,-0.8449042439460754,3914.529895993398,0.07944504557456822,0.020132566971704364,81.18156339095593
10,10_0,COMPLETED,Sobol,-0.8429673910140991,52.944233294993545,0.5046620060484857,0.5385352227659896,0.4937720422187171
11,11_0,COMPLETED,Sobol,-0.7408753633499146,0.005436913307284248,0.47583363586105404,0.26144870517868546,3071.329673910015
12,12_0,COMPLETED,Sobol,-0.7303408980369568,0.048510219313516185,0.7171923720315099,0.14034762237221002,206.89320540870202
13,13_0,COMPLETED,Sobol,-0.8336198329925537,6.526957218381371,0.3100710273720324,0.9171836039051413,0.13280608202016395
14,14_0,COMPLETED,Sobol,-0.8444121479988098,726.2823786078142,0.8526048186728731,0.3907341821109876,19.230819055654532
15,15_0,COMPLETED,Sobol,-0.7375028133392334,0.4348022564338064,0.13563584846723825,0.6746095785861835,0.0033981542649972473
