trial_index,arm_name,trial_status,generation_method,metric,rho,mu,sigma
0,0_0,COMPLETED,Sobol,1.1677742004394531,2.1171437703247107,14.04972890470259,0.4944792091846466
1,1_0,COMPLETED,Sobol,1.5838146209716797,28.099892475485987,0.015905807783588365,0.8551316680386662
2,2_0,COMPLETED,Sobol,2.337217330932617,2906.2547641133024,194.94961620983122,0.11520141456276178
3,3_0,COMPLETED,Sobol,1.1281967163085938,0.03251873758910408,2.6459394372836873,0.7226877147331834
4,4_0,COMPLETED,Sobol,2.29799747467041,0.0013635830455932816,2538.1443071159138,0.9122041612863541
5,5_0,COMPLETED,Sobol,2.386331558227539,1333.0217442560008,0.23038692569524372,0.304594911634922
6,6_0,COMPLETED,Sobol,1.6030073165893555,9.26759666263918,146.15811091728855,0.5407381691038609
7,7_0,COMPLETED,Sobol,0.44345855712890625,0.1055828518853348,0.0010474237254915633,0.17996275052428246
8,8_0,COMPLETED,Sobol,1.9619464874267578,0.3943134712946843,916.5156101993559,0.5906780865043402
9,9_0,COMPLETED,Sobol,0.6350278854370117,4.611102685701764,0.6283654882851827,0.20033962838351727
10,10_0,COMPLETED,Sobol,2.2090673446655273,356.85871211553604,7.0870252617325145,0.9565016347914934
11,11_0,COMPLETED,Sobol,0.35119056701660156,0.0027401726198600707,0.02127450687449315,0.31498065032064915
12,12_0,COMPLETED,Sobol,1.405954360961914,0.009429494712975358,38.28906954539926,0.0005900738760828972
13,13_0,COMPLETED,Sobol,2.68709659576416,6313.223527536535,0.005742470328379153,0.64198989700526
14,14_0,COMPLETED,Sobol,2.384185791015625,96.92614702210953,3956.9934456677506,0.38985136803239584
15,15_0,COMPLETED,Sobol,0.6194114685058594,0.9747587303875677,0.12825875721911434,0.7800686648115516
16,16_0,COMPLETED,Sobol,2.276301383972168,0.4782429968382191,6347.761254424114,0.23434062767773867
17,17_0,COMPLETED,Sobol,2.0232200622558594,129.2035557743381,0.07507611534462406,0.6230835737660527
18,18_0,COMPLETED,Sobol,2.479434013366699,4698.3767602077,57.51546830877791,0.3440909394994378
19,19_0,COMPLETED,Sobol,0.34224987030029297,0.019368815552480382,0.003164983359694742,0.9859848553314805
